Name,Event Description
South (24PG) Network of People Living With HIV/ AIDS,social services education and research law advocacy politics clothing other material assistance environment disaster emergency prevention control homes for children employment training grassroots community development organisations health sanitation the aged consultancy welfare guidance activities adolescents adults beggars blood donors commercial sex workers construction domestic elderly factory girl child hiv homeless juvenile lesbian gays bisexuals transgender migrants orphans patients women urban rural west bengal
ACIL NAVSARJAN RURAL DEVELOPMENT FOUNDATION,social services education and research employment training grassroots community development organisations consultancy adults children girl child rural poor students tribals women youth gujarat
AL AZIZ EDUCATION AND WELFARE SOCIETY,social services recreation and clubs libraries information centres archives education research employment training consultancy welfare guidance activities for children adults artisans artists beggars construction workers dalits disaster affected displaced persons domestic elderly ethnic groups factory farmers farm labourers girl child hiv homeless patients physically challenged rickshawallahs drivers rural poor slum dwellers street students teachers urban weavers women youth maharashtra
ARMAAN FOUNDATION,social services collection purification and distribution of water environment homes for children education research employment training grassroots community development organisations health sanitation welfare guidance activities adults beggars blood donors elderly farmers farm labourers girl child plants rural poor sportspersons street students teachers tribals urban volunteers women youth madhya pradesh
ASHADEEP MULTIPURPOSE SOCIETY,social services education and research recreation clubs disaster emergency prevention control environment health sanitation adults children elderly girl child women youth urban rural maharashtra
Ayush Education Society,education and research consultancy services business professional associations unions libraries information centres archives homes for children day care handicapped employment training environment law advocacy politics architectural engineering other technical activities news media it health sanitation social organisations protection animals birds welfare guidance adults blood donors dalits domestic workers freedom fighters girl child ngos plants rural poor street students teachers urban volunteers women youth uttar pradesh
Bhagyodaya Shikashan Prasarak Sanstha,education and research news media libraries information centres archives homes for children day care handicapped employment training law advocacy politics it services consultancy adults girl child ngos rural poor street students tribals urban women youth maharashtra
Chandra Sundra Trust,social services homes for children employment and training health sanitation the aged education research mid day meals food distribution adults elderly farmers farm labourers girl child patients rural poor slum dwellers street students tribals women youth urban maharashtra
DAKSHIN ARUN NAGAR CHATANA SANGHA,social services consultancy education and research news media architectural engineering other technical activities collection purification distribution of water health sanitation nursing homes it sporting travel tourists assistance transport accident victims adolescents adults animal lovers animals birds blood donors children commercial sex workers elderly farmers farm labourers girl child healthcare hiv ngos plants rural poor women youth west bengal
Development Initiative,social services education and research employment training grassroots community development organisations health sanitation professional agriculture children rural poor tribals women chhattisgarh
HUMAN CARE (MICRO FINANCE),social services activities of religious organisations development and housing employment training health sanitation homes for children the aged law advocacy politics welfare guidance adults animal lovers animals birds blood donors factory workers healthcare legal ngos rural poor scavengers human street students urban volunteers women youth west bengal
MULTIPURPOSE AWARENESS SOCIETY,social services environment health sanitation adults children students teachers youth urban rural telangana
Rereeti Foundation for Museums Galleries and Heritage Sites,culture and recreation social clubs dramatic arts music other activities education research adolescents adults artists children elderly ethnic groups girl child students teachers women youth urban karnataka
SAMARPIT Centre for Poverty Alleviation and Social Research,social services education and research employment training health sanitation homes for children the aged adolescents adults beggars commercial sex workers construction domestic elderly farmers farm labourers girl child hiv homeless juvenile mentally challenged migrants ngos orphans physically rural poor scavengers human slum dwellers street tribals urban women youth chhattisgarh
SARENGA BABA LOKNATH SC ST AND MINORITY SEVA SAMITY,social services health sanitation activities of religious organisations education and research environment clothing other material assistance recreation clubs homes for children day care centres handicapped employment training the aged dramatic arts music law advocacy politics nursing professional consultancy welfare guidance adults animal lovers animals birds blood donors disaster affected elderly farmers farm labourers girl child healthcare workers hiv homeless juvenile legal medical practioners ngos patients rural poor students tribals volunteers women youth west bengal
SMT PARVATIBAI TULSHIRAM GARUD SAMAJIK SHAISHANIK SANSKRUTIK KALA KRIDA SANSTHA,culture and recreation social clubs education research it services consultancy development housing children dalits farmers farm labourers girl child migrants ngos physically challenged slum dwellers street students urban poor weavers women youth rural maharashtra
SONARPUR SWAMI VIVEKANANDA MANAS MISSION,social services grassroots community development organisations health sanitation education and research environment clothing other material assistance homes for children day care centres handicapped employment training the aged nursing it adolescents adults beggars blood donors elderly girl child healthcare workers medical practioners mentally challenged patients physically rickshawallahs drivers rural poor street students women youth urban west bengal
SWAMI VIVEKANANDA MISSION TRUST,social services disaster emergency prevention and control education research health sanitation employment training law advocacy politics libraries information centres archives sporting activities agriculture travel tourists assistance accident victims adolescents animal lovers artisans artists beggars blood donors children affected displaced persons domestic workers elderly farmers farm labourers girl child healthcare hiv legal ngos orphans patients physically challenged plants rural poor street students volunteers women youth west bengal
SWASTIK TRUST,social services professional organisations adults children students urban rural tamil nadu
TALENTED ASPIRANTS PEOPLE'S ACTION FOR THE SOCIETY FOR VIGOROUS INN (TAPASVI),social services grassroots community development organisations health sanitation education and research consultancy clothing other material assistance collection purification distribution of water environment construction recreation clubs homes for children day care centres handicapped disaster emergency prevention control employment training the aged international associations human rights peace architectural engineering technical activities manufacturing marriage bureaus nursing transport news media sporting housing agriculture protection animals birds it welfare guidance unions adults blood donors elderly farmers farm labourers girl child homeless juvenile mentally challenged ngos orphans plants street students teachers tribals urban poor volunteers women youth rural andhra pradesh
"The Association for Leprosy Education, Rehabilitation and Treatment - India",health sanitation homes for children day care centres handicapped education and research social services consultancy adolescents adults chronically ill commercial sex workers construction dalits displaced persons elderly ethnic groups factory farmers farm labourers girl child healthcare hiv medical practioners migrants ngos patients physically challenged rickshawallahs drivers rural poor slum dwellers students teachers tribals truckers urban volunteers women youth maharashtra
THE SATKAARYA TRUST,social services education and research children girl child homeless orphans urban tamil nadu
VANSH SHIKSHAN PRASARAK SANSTHA,education and research children girl child students youth rural maharashtra
ALL INDIA WOMEN'S CONFERENCE BOMBAY BRANCH,social services homes for children environment education and research adults girl child street women urban rural maharashtra
BNM - TSK TRUST,education and research employment training environment social services consultancy welfare guidance activities for children adolescents adults girl child rural poor students volunteers women youth tamil nadu
Centre for Social Reconstruction,social services disaster emergency prevention and control education research grassroots community development organisations health sanitation agriculture consultancy adults children commercial sex workers farmers farm labourers girl child hiv ngos rural poor students tribals women youth urban tamil nadu
"EKVIRA MULTIPURPOSE FOUNDATION, AKOLA",education and research day care centres for handicapped consultancy services health sanitation adults children physically challenged women urban rural maharashtra
HARINGHATA SAPHALYA DEVELOPMENT SOCIETY,social services environment adults children dalits farmers farm labourers girl child healthcare workers plants students tribals women youth urban rural west bengal
Hind Hope Society,social services education and research employment training it beggars children dalits elderly girl child mentally challenged physically women youth urban rural rajasthan
INDIAN PROGRESSIVE YOUTH FORUM,social services education and research law advocacy politics collection purification distribution of water environment employment training health sanitation international human rights peace organisations consultancy professional protection activities for animals birds news media welfare guidance children accident victims adolescents adults animal lovers farmers farm labourers healthcare workers mentally challenged rural poor street students urban volunteers women youth uttar pradesh
Jagrook Mahila Sanstha Parcham,social services education and research law advocacy politics environment recreation clubs grassroots community development organisations health sanitation consultancy welfare guidance activities for children adults rural uttar pradesh
JEEVAN VIKAS SANSTHA PAITHAN,health consultancy services grassroots community development organisations accident victims adolescents adults animal lovers children elderly women youth rural maharashtra
JEEVANDHARA BAHUUDDESHIY SANSTHA,social services grassroots community development organisations health sanitation law advocacy and politics activities of religious education research news media environment recreation clubs homes for children day care centres handicapped housing disaster emergency prevention control dramatic arts music other employment training the aged international human rights peace libraries information archives manufacturing nursing it consultancy professional protection animals birds sporting agriculture welfare guidance accident victims adolescents adults animal lovers armed forces artisans artists beggars blood donors chronically ill commercial sex workers construction dalits affected displaced persons domestic elderly ethnic groups factory farmers farm labourers firemen freedom fighters girl child healthcare hiv homeless juvenile legal lesbian gays bisexuals transgender medical practioners mentally challenged migrants ngos organ orphans patients physically plants policemen porters refugees rickshawallahs drivers rural poor scavengers slum dwellers sportspersons street students teachers tribals truckers urban volunteers weavers women youth maharashtra
Kalyani Life Institute,education and research health sanitation day care centres for handicapped employment training homes the consultancy services social children mentally challenged physically urban poor rural west bengal
Mission Smile,health sanitation adolescents adults children urban rural west bengal
PRAYAS EDUCATIONAL &TECHNICAL TRAINING DEVELOPMENT SOCIETY,social services consultancy homes for children education and research health sanitation employment training manufacturing nursing environment it news media recycling of non metal waste associations unions development housing agriculture travel tourists assistance protection activities animals birds welfare guidance adolescents adults beggars blood donors construction workers dalits disaster affected domestic elderly factory farmers farm labourers freedom fighters girl child healthcare medical practioners mentally challenged ngos orphans patients physically rickshawallahs drivers rural poor slum dwellers sportspersons street students teachers tribals urban volunteers weavers women youth jharkhand
PREMASREE,social services homes for the handicapped education and research children physically challenged rural west bengal
Purulia District Agragami Mahila O Sisu Mangal Samiti,social services collection purification and distribution of water homes for children disaster emergency prevention control education research health sanitation consultancy welfare guidance activities adolescents adults commercial sex workers affected elderly girl child healthcare hiv rural poor women youth urban west bengal
R S N V FOUNDATION (TRUST),social services homes for children health sanitation consultancy displaced persons elderly girl child hiv mentally challenged orphans physically street women rural tamil nadu
SHARDA SEWA SANSTHAN,social services education and research adolescents adults children dalits farmers farm labourers girl child hiv juvenile rural poor tribals urban women youth uttar pradesh
Society for Children and Women Development,social services disaster emergency prevention and control education research environment health sanitation adolescents adults children construction workers affected elderly girl child plants rural poor students teachers tribals women youth urban tamil nadu
TULJABHAVANI BAHUUDDESHIYA SHIKSHAN PRASARAK MANDAL,social services health sanitation education and research transport activities welfare guidance for children farmers farm labourers ngos plants rural poor students women youth maharashtra
VISION RESCUE,social services education and research mid day meals food distribution consultancy adolescents adults children girl child patients physically challenged slum dwellers street students teachers urban poor women youth rural maharashtra
Yuwa Gram Vikas Mandal,social services education and research news media law advocacy politics recreation clubs environment health sanitation homes for children the aged professional organisations protection activities animals birds consultancy transport welfare guidance accident victims adults animal lovers artisans beggars blood donors commercial sex workers displaced persons domestic elderly ethnic groups girl child hiv homeless juvenile legal mentally challenged ngos orphans patients physically plants refugees rural poor students volunteers women youth urban maharashtra
CINEMATIC FOUNDATION OF INDIA (CFI),social services consultancy education and research news media environment libraries information centres archives disaster emergency prevention control dramatic arts music other activities grassroots community development organisations manufacturing recreation clubs agriculture adolescents adults children affected factory workers farmers farm labourers girl child healthcare homeless ngos rickshawallahs drivers rural poor slum dwellers street tribals urban volunteers women youth west bengal
Comprehensive Rural Tribal Welfare Development Programme,development and housing education research environment construction recreation social clubs homes for children disaster emergency prevention control employment training health sanitation services agriculture adults beggars dalits affected farmers farm labourers girl child healthcare workers hiv homeless migrants ngos plants rickshawallahs drivers rural poor slum dwellers tribals women youth maharashtra
Entrepreneurship Training and Rural Development  Initiatives Society,social services employment and training environment health sanitation agriculture consultancy adults dalits girl child rural poor students teachers urban women youth punjab
Indian Women And Children Foundation,social services grassroots community development organisations education and research homes for children employment training health sanitation libraries information centres archives welfare guidance activities adolescents adults farmers farm labourers girl child rural poor slum dwellers sportspersons students teachers tribals urban women maharashtra
JAHNVIS MULTI FOUNDATION,education and research adults children women youth urban rural maharashtra
JANA SANSKRITI CENTRE FOR THEATRE OF THE OPPRESSED,social services law advocacy and politics dramatic arts music other activities education research grassroots community development organisations health sanitation international human rights peace professional agriculture welfare guidance for children adults artists dalits farmers farm labourers girl child ngos rural poor students teachers tribals volunteers women youth chhattisgarh
Janseva Gramin Vikas Va Shikshan Pratishthan,social services environment construction recreation and clubs education research grassroots community development organisations health sanitation adolescents adults children farmers farm labourers girl child homeless physically challenged street students tribals women youth urban rural maharashtra
JHARKHAND SWABHIMAN RANCHI,social services adults children elderly girl child hiv orphans plants rural poor students tribals women urban jharkhand
KALP SAMAJSEVI SANSTHA,social services environment grassroots community development organisations health sanitation agriculture welfare and guidance activities for children commercial sex workers dalits farmers farm labourers girl child hiv rural poor students tribals women youth chhattisgarh
Life Care Society,health sanitation adolescents adults children elderly patients rural poor urban women youth uttarakhand
Parivartan Yuvak Vikas Mandal,social services grassroots community development organisations education and research clothing other material assistance employment training libraries information centres archives environment it adults beggars children construction workers domestic elderly girl child hiv youth urban rural maharashtra
