Name,Description
Aavi Rural and Urban Development Organisation (ARUDO),social services urban rural karnataka adults farmers farm labourers patients rural poor students teachers women youth
Arsh Yog Avam Jan Kalyan Trust,health urban rural all india adolescents adults animals birds beggars blood donors children dalits disaster affected domestic workers elderly factory workers farmers farm labourers freedom fighters girl child healthcare workers hiv homeless plants rural poor street children students urban poor volunteers women youth
BALLSY GROUP,social services urban rural assam adults
BAMONGRAM RESHAM KHADI PRATISTHAN,social services urban rural west bengal accident victims adolescents adults
BARRACKPUR BELA MEMORIAL CHARITABLE WELFARE SOCIETY,health rural west bengal children dalits rural poor students
Chaitanya Foundation,health rural bihar adolescents hiv women
Chandraprabha Seva Samiti's Anant Shikshan Gramvikas Mandal,social services urban rural all india adults blood donors children dalits farmers farm labourers healthcare workers rickshawallahs drivers rural poor slum dwellers students teachers tribals truckers urban poor volunteers women youth
Change Agent Foundation (CAF),social services urban rural maharashtra adolescents adults children girl child students urban poor youth
Christian Organization for Social Service,social services urban rural madhya pradesh adults children girl child homeless orphans rickshawallahs drivers rural poor street children tribals urban poor women
CONSUMER GUIDANCE SOCIETY,social services urban rural all india adults children elderly women youth
DEV GOVIND GRAMIN VIKAS SANSTHAN,social services urban rural all india adults artists blood donors elderly farmers farm labourers ngos rural poor slum dwellers urban poor youth
GRMD FOUNDATION,education and research rural all india children students women youth
INDUS TREE CRAFTS FOUNDATION,development and housing urban rural all india artisans dalits migrants ngos rural poor urban poor weavers women youth
JAZZBA FOUNDATION,social services urban rural rajasthan adults artisans beggars dalits domestic workers ethnic groups girl child homeless porters rickshawallahs drivers rural poor slum dwellers students teachers tribals urban poor volunteers weavers women youth
LOK SEVA SANGAM,health urban all india adults beggars children elderly patients slum dwellers students urban poor volunteers women youth
MADHYAM,social services rural all india accident victims adolescents adults girl child ngos weavers women youth
MANTESWAR DEEGANTA RURAL DEVELOPMENT AND YOUTH WELFARE SOCIETY,social services urban rural west bengal children
MOTHERS ANGEL CHILDREN SOCIETY,education and research urban rural uttarakhand beggars children
Neshna Trust,social services urban rural andhra pradesh girl child healthcare workers hiv medical practioners women youth
PRAGATISHEEL MAHILA SAMITI,social services urban rural rajasthan accident victims adolescents adults children commercial sex workers domestic workers elderly girl child homeless juvenile physically challenged policemen prisoners rural poor slum dwellers volunteers women youth
Prajayatna,education and research urban rural andhra pradesh adolescents adults children juvenile mentally challenged migrants physically challenged rural poor slum dwellers street children students teachers tribals urban poor women youth
PRAKRUTIMITRA SAMAJIKA SANGATHAN,development and housing rural all india adults children women youth
Prem Seva Mahila Mandal,social services rural maharashtra adolescents adults children construction workers elderly farmers farm labourers girl child juvenile ngos orphans prisoners rural poor street children students women youth
RENE Foundation (Rural Empowerment for National Enlightenment),health urban rural all india adolescents adults children dalits farmers farm labourers girl child hiv students women youth
SEVA CHARITABLE TRUST,environment urban rural all india animal lovers children ngos volunteers women youth
SHASHI WELFARE SOCIETY,social services urban rural all india children dalits rural poor street children students urban poor
"Society for Indian Development, Sundalpura",social services urban rural gujarat adults
